Bill Number,Chapter No. (nnnn),XFile Bill Number,Sponsor,Synopsis,Title,Current Status,First Reading Date - House of Origin,Committee Primary - House of Origin,Hearing Date Primary - House of Origin,Hearing Time Primary - House of Origin,Committee Secondary - House of Origin,Hearing Date Secondary - House of Origin,Hearing Time Secondary - House of Origin,Report Date - House of Origin,Report Action - House of Origin,Second Reading Date - House of Origin,Second Reading Action - House of Origin,Third Reading Date - House of Origin,Third Reading Action - House of Origin,First Reading Date - Opposite House,Committee Primary - Opposite House,Hearing Date Primary - Opposite House,Hearing Time Primary - Opposite House,Committee Secondary - Opposite House,Hearing Date Secondary - Opposite House,Hearing Time Secondary - Opposite House,Report Date - Opposite House,Report Action - Opposite House,Second Reading Date - Opposite House,Second Reading Action - Opposite House,Third Reading Date - Opposite House,Third Reading Action - Opposite House,Interaction Between Chambers,Passed by MGA,Emergency Bill,Constitutional Amendment,Broad Subject Name,Broad Subject Code,year_session, status current as of
"HB1048","","","Prince George's County Delegation","Establishing an exemption from the Prince George's County school facilities surcharge for multi-family housing designated as student housing in a specified area within the campus of Capitol College and for single family attached dwelling units in specified residential projects within the Developed Tier.","Prince George's County - School Facilities Surcharge Exemption - Capitol College Student Housing and Residential Revitalization Projects PG 408-14","Returned Passed","2/6/2014","Environmental Matters ","3/7/2014"," 1:00 p.m.","","","","3/14/2014 12:00:00 AM","Favorable with Amendments","3/11/2014","Passed with Amendments","3/12/2014","Passed","3/13/2014","Education, Health, and Environmental Affairs ","3/28/2014"," 1:00 p.m.","","","","4/2/2014","Favorable","3/25/2014","Passed","3/27/2014","Passed","Returned Passed","Yes","","","Counties - Local Laws","l2","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB1049","","","Prince George's County Delegation","Authorizing Prince George's County to impose, by law, a fee on specified retail establishments for use of disposable bags as part of a retail sale of products; limiting the amount of the fee to 5 cents for each disposal bag used; and defining 'disposable bag' as a paper or plastic bag provided by a store to a customer at the point of sale.","Prince George's County - Authority to Impose Fees for Use of Disposable Bags PG 402-14","First Reading Environmental Matters and Economic Matters","2/6/2014","Environmental Matters ","","","Economic Matters ","","","","","","","","","","","","","","","","","","","","","","","No","","","Counties - Local Laws","l2","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB1050","","","Delegate McDonough","Prohibiting the State from issuing an occupational or professional license, certification, or registration to an undocumented immigrant; and defining the term 'undocumented immigrant' to mean an individual who is a foreign national and is illegally present in the United States with the intent to remain in the United States indefinitely.","State Occupational or Professional Licenses - Issuance to Undocumented Immigrants - Prohibited","Unfavorable Report by Economic Matters Withdrawn","2/6/2014","Economic Matters ","","","Health and Government Operations ","","","3/3/2014 12:00:00 AM","Withdrawn","","","","","","","","","","","","","","","","","","","No","","","State Government - Regulations and Procedures","p3","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB1051","","","Baltimore County Delegation","Providing for enhanced workers' compensation benefits for a deputy sheriff in Baltimore County for a compensable permanent partial disability of less than a specified number of weeks; and applying the Act only prospectively.","Workers' Compensation - Baltimore County Deputy Sheriff","Favorable with Amendments Report by Finance","2/6/2014","Economic Matters ","3/4/2014"," 1:00 p.m.","","","","3/13/2014 12:00:00 AM","Favorable with Amendments","3/10/2014","Passed with Amendments","3/11/2014","Passed","3/13/2014","Finance ","4/3/2014"," 1:00 p.m.","","","","4/7/2014","Favorable with Amendments","","","","","","No","","","Workers' Compensation","k1","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB1052","","SB0805","Delegate Waldstreicher","Enacting the Maryland Uniform Collaborative Law Act; establishing requirements for a collaborative law participation agreement and the collaborative law process; establishing standards for the disclosure of information during the collaborative law process; making the provisions of the Act severable; etc.","Maryland Uniform Collaborative Law Act","Rereferred to Judicial Proceedings","2/6/2014","Judiciary ","2/28/2014"," 1:00 p.m.","","","","4/5/2014 12:00:00 AM","Favorable","3/29/2014","Passed","3/30/2014","Passed","3/28/2014","Judicial Proceedings ","","","","","","","","","","","","","No","","","Civil Actions and Procedures","d3","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB1053","","SB0210","Delegate McComas","Making it a misdemeanor, subject to specified penalties, for a specified person to knowingly and willfully fail to report child abuse under specified circumstances; establishing the Task Force to Study Training for Mandatory Reporters on the Risk Factors, Prevention, Identification, and Reporting of Child Abuse; providing for the composition, chair, and staffing of the Task Force; prohibiting a member of the Task Force from receiving specified compensation, but authorizing the reimbursement of specified expenses; etc.","Child Abuse - Failure to Report - Penalties and Task Force","Unfavorable Report by Judiciary","2/6/2014","Judiciary ","2/26/2014"," 1:00 p.m.","","","","3/10/2014 12:00:00 AM","Unfavorable","","","","","","","","","","","","","","","","","","","No","","","Family Law","d4","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB1054","","","Calvert County Delegation","Requiring that before the Calvert County Board of License Commissioners submits a legislative proposal to the Calvert County Delegation for introduction as a bill in a session of the General Assembly, the Board must post notice of the proposal and hold a public hearing at least 6 months before the start of the session.","Calvert County - Board of License Commissioners - Notice and Hearing on Proposed Legislation","Hearing 3/25 at 1:00 p.m.","2/6/2014","Economic Matters ","3/3/2014"," 1:00 p.m.","","","","3/7/2014 12:00:00 AM","Favorable","3/7/2014","Passed","3/8/2014","Passed","3/9/2014","Education, Health, and Environmental Affairs ","3/25/2014"," 1:00 p.m.","","","","","","","","","","","No","","","Alcoholic Beverages - Local Bills","a2","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB1055","","","Prince George's County Delegation","Prohibiting the Prince George's County Board of Education from issuing a credit card to a member of the county board; and providing for a delayed effective date.","Prince George's County - Board of Education - Issuance of Credit Cards - Prohibition PG 415-14","Hearing 3/12 at 1:00 p.m.","2/6/2014","Ways and Means ","3/12/2014"," 1:00 p.m.","","","","","","","","","","","","","","","","","","","","","","","","No","","","Education - Local Bills","f3","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB1056","","","Calvert County Delegation","Authorizing the County Commissioners of Calvert County to enact a local law that increases the amount of benefits that a specified member of any Calvert County volunteer fire company, volunteer rescue squad, or rescue dive team is eligible to receive to $700 per month, for life, and increases the amount of an additional payment each month for each full year of volunteer service in excess of 25 years to $10 per month; and repealing a provision setting a specified maximum benefit.","Calvert County - Length of Service Award - Fire Fighters, Rescue Squad Members, and Rescue Dive Team Members - Increase Authorized","Hearing 3/07 at 1:00 p.m.","2/6/2014","Environmental Matters ","3/7/2014"," 1:00 p.m.","","","","","","","","","","","","","","","","","","","","","","","","No","","","Counties - Local Laws","l2","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB1057","","","Prince George's County Delegation","Removing the termination provision applicable to a specified motor carrier permit exemption relating to bus service provided by the University of Maryland, College Park.","Prince George's County - University of Maryland, College Park Bus Service - Motor Carrier Permit Exemption - Removal of Sunset PG 403-14","Returned Passed","2/6/2014","Economic Matters ","2/20/2014"," 1:00 p.m.","","","","2/25/2014 12:00:00 AM","Favorable","2/26/2014","Passed","2/28/2014","Passed","3/3/2014","Finance ","3/20/2014"," 1:00 p.m.","","","","4/1/2014","Favorable","3/23/2014","Passed","3/24/2014","Passed","Returned Passed","Yes","","","Utility Regulation","c5","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB1058","","SB0994","Delegate Carter","Requiring the Baltimore City Board of School Commissioners to conduct specified public meetings and consult with the Parent and Community Advisory Board before a vote to close a specified school that is not included in a specified 10-Year Plan.","Baltimore City - School Closures - Consultations","Unfavorable Report by Appropriations; Withdrawn","2/6/2014","Appropriations ","","","","","","3/10/2014 12:00:00 AM","Withdrawn","","","","","","","","","","","","","","","","","","","No","","","Education - Local Bills","f3","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB1059","","","Delegate Clagett","Requiring each county and each municipality that receives highway user revenues to submit a report on or before January 1 of each year to the State Highway Administration, the Governor, and specified committees of the General Assembly that documents the actual costs and lawful uses of highway user revenues in the preceding fiscal year and the expenditure budget of the current fiscal year; etc.","Transportation - Highway User Revenues - Local Government Reporting","Returned Passed","2/6/2014","Appropriations ","3/4/2014"," 1:00 p.m.","","","","3/14/2014 12:00:00 AM","Favorable","3/11/2014","Passed","3/12/2014","Passed","3/13/2014","Budget and Taxation ","3/25/2014"," 1:00 p.m.","","","","4/1/2014","Favorable","3/23/2014","Passed","3/24/2014","Passed","Returned Passed","Yes","","","Transportation - Generally","r2","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB1060","","SB0889","Delegate James","Establishing the Northeastern Maryland Additive Manufacturing Innovation Authority; establishing an Executive Board; requiring that, to the extent practicable, the members of the Board reasonably reflect the geographic, racial, ethnic, cultural, and gender diversity of the State; requiring the Board to appoint an Executive Director with specified duties; requiring the Department of Business and Economic Development and specified Cecil County and Harford County offices jointly to provide staff, office space, and operational support; etc.","Northeastern Maryland Additive Manufacturing Innovation Authority","Passed Enrolled","2/6/2014","Economic Matters ","3/5/2014"," 1:00 p.m.","","","","3/14/2014 12:00:00 AM","Favorable with Amendments","3/11/2014","Passed with Amendments","3/12/2014","Passed","3/13/2014","Finance ","3/27/2014"," 1:00 p.m.","","","","4/1/2014","Favorable with Amendments","3/23/2014","Passed with Amendments","3/24/2014","Passed with Amendments","Concurred","Yes","","","Economic and Community Development","c8","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB1061","","","Prince George's County Delegation","Prohibiting the Department of Transportation from spending any funds for the planning, design, or construction of a roadway to link Interstate 95 in or through Prince George's County to specified roadways or to a specified mixed-use development or shopping center located within a specified distance of the University of Maryland, College Park; etc.","Transportation - Interstate 95 Link to Roadways or Property Near the University of Maryland, College Park - Spending Prohibited PG 406-14","First Reading Environmental Matters","2/6/2014","Environmental Matters ","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","Transportation - Highways","r1","2014 Regular Session","4/9/2014 6:00:56 PM"
